Accession Number	Spp	Number of Proteins in Genome	Number of Hits to Genome	Percent Proteins Hit
NC_002816	Cydia pomonella granulovirus	143	7	2.10
NC_023705	Mycobacterium phage Liefie	61	22	9.84
NC_025455	Synechococcus phage S-CBP2	53	64	24.53
NC_020416	Salmonella phage vB_SenMS16	268	72	11.19
NC_028990	Enterococcus phage vB_EfaS_IME196	57	28	10.53
NC_003291	Listeria phage 2389	59	25	5.08
NC_020839	Rhodobacter phage RC1	56	69	19.64
NC_022065	Mycobacterium phage Contagion	140	130	8.57
NC_011292	Mycobacterium phage Konstantine	95	25	4.21
NC_020489	Rhodobacter phage RcapNL	64	22	12.50
NC_015253	Brochothrix phage A9	199	34	5.03
NC_024794	Escherichia phage vB_EcoM_PhAPEC2	254	123	11.42
NC_004456	Vibrio phage VHML	57	26	14.04
NC_016163	Yersinia phage phiR1-37	367	124	4.36
NC_007149	Vibriophage VP4	31	55	29.03
NC_025115	Ralstonia phage RSY1	49	78	24.49
NC_005841	Enterobacteria phage ST104	63	77	12.70
NC_009526	Staphylococcus phage 80alpha	73	34	8.22
NC_027996	Campylobacter virus CPt10	196	28	6.63
NC_019512	Helicobacter phage 1961P	33	22	9.09
NC_015286	Synechococcus phage Syn19	215	696	32.56
NC_007049	Staphylococcus phage 53	74	32	8.11
NC_022058	Mycobacterium phage Adzzy	96	52	10.42
NC_006963	Blackberry yellow vein-associated virus	9	14	11.11
NC_013647	Klebsiella phage KP32	44	50	15.91
NC_008168	Choristoneura occidentalis granulovirus	116	9	1.72
NC_022096	Pseudomonas phage PaBG	308	185	4.22
NC_009877	Mycobacterium phage U2	81	42	9.88
NC_008603	Paramecium bursaria Chlorella virus FR483	849	788	10.60
NC_019421	Clostridium phage phiMMP02	76	60	5.26
NC_001798	Human alphaherpesvirus 2	77	16	2.60
NC_023615	Invertebrate iridescent virus 22	174	194	11.49
NC_013648	Enterococcus phage phiFL3A	64	36	10.94
NC_006949	Enterobacteria phage ES18	79	59	13.92
NC_006565	Lactobacillus virus LP65	165	21	7.27
NC_023552	Mycobacterium phage Donovan	78	52	7.69
NC_023725	Mycobacterium phage Nappy	234	107	7.26
NC_019719	Enterobacteria phage HK633	67	57	14.93
NC_022982	Xylella phage Paz	51	41	29.41
NC_005893	Lactobacillus phage phiAT3	55	17	9.09
NC_021311	Mycobacterium phage Phaux	145	137	8.97
NC_021221	Fowl aviadenovirus 5	39	1	2.56
NC_008376	Geobacillus phage GBSV1	54	25	16.67
NC_023587	Synechococcus phage ACG-2014h	221	578	34.39
NC_019550	Liberibacter phage SC2	47	40	17.02
NC_020841	Psychrobacter phage pOW20-A	71	155	11.27
NC_008194	Mycobacterium virus 244	142	107	8.45
NC_003310	Monkeypox virus Zaire-96-I-16	191	126	4.71
NC_015271	Salmonella phage Vi06	47	9	17.02
NC_003309	Burkholderia virus phiE125	71	149	26.76
NC_019525	Bdellovibrio phage phi1422	76	54	10.53
NC_024329	Podovirus Lau218	48	135	20.83
NC_025452	Dickeya phage RC-2014	196	46	10.71
NC_018838	Propionibacterium phage P100_A	45	7	8.89
NC_022071	Mycobacterium phage Crossroads	133	32	8.27
NC_003313	Vibrio phage K139	44	2	2.27
NC_014636	Aeromonas phage phiAS5	343	159	10.20
NC_005178	Pseudomonas phage D3112	55	10	12.73
NC_013638	Pseudomonas phage phi-2	43	17	9.30
NC_018504	Apocheima cinerarium nucleopolyhedrovirus	117	6	3.42
NC_012868	Enterobacteria phage St-1	11	7	63.64
NC_023699	Mycobacterium phage SG4	105	90	11.43
NC_023554	Mycobacterium phage JAMaL	98	25	6.12
NC_023577	Mycobacterium phage Obama12	89	121	15.73
NC_023706	Rhodococcus phage ReqiDocB7	105	18	5.71
NC_022763	Bacillus phage Spock	283	100	5.65
NC_004117	Mamestra configurata nucleopolyhedrovirus B	168	30	3.57
NC_011269	Mycobacterium phage ScottMcG	221	104	6.79
NC_023720	Mycobacterium phage Perseus	92	43	8.70
NC_003494	Infectious spleen and kidney necrosis virus	125	35	5.60
NC_024784	Escherichia phage vB_EcoS_AHS24	81	30	11.11
NC_019398	Cronobacter phage vB_CsaM_GAP161	275	116	14.55
NC_007383	Trichoplusia ni single nucleopolyhedrovirus	145	21	3.45
NC_005891	Vibrio phage VP5	48	31	12.50
NC_018841	Propionibacterium phage P101A	47	3	4.26
NC_022338	Propionibacterium phage PHL060L00	46	5	6.52
NC_017974	Cronobacter phage CR3	265	92	9.06
NC_024697	Aureococcus anophagefferens virus	376	613	14.10
NC_004812	Macacine alphaherpesvirus 1	75	20	4.00
NC_022067	Mycobacterium phage Wanda	240	129	6.67
NC_023602	Mycobacterium phage 32HC	86	41	8.14
NC_018875	Epinotia aporema granulovirus	132	9	2.27
NC_016072	Megavirus chiliensis	1120	1401	9.55
NC_021558	Paenibacillus phage PG1	67	11	5.97
NC_023502	Rhizobium phage vB_RleS_L338C	181	97	9.39
NC_023607	Mycobacterium phage 40AC	90	95	13.33
NC_025467	Enterococcus phage vB_Efae230P-4	25	1	4.00
NC_022323	Escherichia phage JES2013	220	69	10.45
NC_000929	Escherichia virus Mu	55	26	16.36
NC_023426	Anomala cuprea entomopoxvirus	263	339	1.90
NC_008574	Ralstonia phage RSM1	15	17	6.67
NC_020848	Vibrio phage VBP47	115	61	15.65
NC_019513	Staphylococcus phage SMSAP5	42	51	21.43
NC_021348	Mycobacterium phage ArcherS7	237	101	6.33
NC_021344	Escherichia phage Lw1	273	87	10.62
NC_025449	Escherichia phage ECML-134	270	83	9.63
NC_023610	Erwinia phage PhiEaH1	241	96	5.39
NC_025466	Shewanella sp. phage 3/49	70	64	20.00
NC_018272	Nonlabens phage P12024L	58	186	43.10
NC_018847	Propionibacterium phage ATCC29399B_T	46	4	6.52
NC_024451	Armadillidium vulgare iridescent virus	203	161	10.84
NC_025458	Shewanella sp. phage 1/41	69	33	20.29
NC_015457	Shigella phage Shfl2	265	90	10.94
NC_015719	Escherichia phage K30	49	39	12.24
NC_012788	Mycobacterium phage Angel	61	22	9.84
NC_013643	Enterococcus phage phiFL2A	63	31	9.52
NC_023553	Mycobacterium phage Echild	100	67	8.00
NC_005882	Burkholderia virus BcepMu	53	37	16.98
NC_019506	Clostridium phage phiCP13O	55	29	10.91
NC_014637	Cafeteria roenbergensis virus BV-PW1	544	1065	15.62
NC_013694	Mycobacterium phage Peaches	86	128	17.44
NC_022968	Escherichia phage 4MG	271	115	8.86
NC_019921	Staphylococcus phage phi5967PVL	42	11	11.90
NC_024486	Duck adenovirus 2	36	4	2.78
NC_007048	Staphylococcus phage 69	69	4	2.90
NC_013645	Streptococcus phage Abc2	48	10	8.33
NC_015285	Prochlorococcus phage Syn33	227	648	35.68
NC_023600	Mycobacterium phage Jolie1	98	29	5.10
NC_020199	Staphylococcus phage phi7401PVL	44	62	20.45
NC_012223	Escherichia virus SSL2009a	67	36	13.43
NC_019448	Staphylococcus phage GH15	214	55	4.21
NC_023568	Vibrio phage VH7D	327	243	14.68
NC_019723	Enterobacteria phage HK630	69	34	13.04
NC_024789	Escherichia phage vB_EcoS_AKS96	74	38	9.46
NC_008203	Mycobacterium phage Che12	98	46	10.20
NC_016658	Cyanophage NATL1A-7	65	36	18.46
NC_001909	Lactococcus virus bIL170	64	24	4.69
NC_001491	Equid alphaherpesvirus 1	80	24	3.75
NC_011166	Pseudomonas phage LMA2	94	226	82.98
NC_024217	Nitrincola phage 1M3-16	144	76	10.42
NC_020838	Synechococcus phage S-RIP2	54	193	25.93
NC_006883	Prochlorococcus phage P-SSM2	334	1166	35.33
NC_021332	Staphylococcus phage StauST398-3	69	16	5.80
NC_001271	Yersinia phage phiYeO3-12	59	103	15.25
NC_007151	Chrysodeixis chalcites nucleopolyhedrovirus	151	30	3.97
NC_019450	Pseudomonas phage JG004	161	81	12.42
NC_005857	Klebsiella phage phiKO2	64	69	21.88
NC_004928	Enterobacteria phage RB69	273	84	9.52
NC_023701	Mycobacterium phage Acadian	97	68	9.28
NC_015294	Pseudomonas phage PAK_P1	181	80	11.05
NC_017940	European catfish virus	136	98	9.56
NC_023710	Mycobacterium phage RidgeCB	94	22	7.45
NC_020843	Vibrio phage 11895-B1	196	71	6.63
NC_024386	Leuconostoc phage phiLN25	41	11	7.32
NC_004003	Goatpox virus Pellor	150	34	4.67
NC_003389	Swinepox virus	150	84	4.67
NC_020486	Synechococcus phage S-RIM8 A.HR1	211	662	31.75
NC_003356	Enterobacteria phage phiP27	58	105	24.14
NC_023580	Mycobacterium phage Saal	101	52	8.91
NC_020846	Vibrio phage pYD21-A	74	48	10.81
NC_021319	Halovirus HCTV-2	86	25	2.33
NC_020847	Prochlorococcus phage MED4-184	59	74	32.20
NC_026928	Synechococcus phage ACG-2014e	213	604	35.21
NC_021561	Vibrio phage pYD38-B	57	40	12.28
NC_019721	Enterobacterial phage mEp390	59	64	20.34
NC_007064	Staphylococcus phage 92	64	26	9.38
NC_005337	Bovine papular stomatitis virus	131	19	2.29
NC_022086	Mycobacterium phage LittleCherry	87	55	10.34
NC_023571	Oenococcus phage phiS11	59	42	10.17
NC_001847	Bovine alphaherpesvirus 1	70	27	2.86
NC_025471	Idiomarinaceae phage Phi1M2-2	65	38	13.85
NC_000852	Paramecium bursaria Chlorella virus 1	802	847	10.35
NC_008201	Mannheimia phage phiMHaA1	49	37	22.45
NC_023606	Mycobacterium phage CRB1	94	73	9.57
NC_015283	Prochlorococcus phage P-RSM4	239	756	33.05
NC_012027	Mycobacterium phage Phlyer	103	28	4.85
NC_023503	Streptococcus phage 20617	68	84	7.35
NC_023693	Enterobacteria phage phi92	250	309	10.00
NC_008252	Neodiprion abietis NPV	93	1	1.08
NC_004105	Ectromelia virus	173	129	5.20
NC_021067	Vibrio phage helene 12B3	263	104	6.84
NC_002665	Bovine gammaherpesvirus 4	79	10	5.06
NC_009603	Microbacterium phage Min1	77	63	12.99
NC_008206	Mycobacterium phage Wildcat	148	49	4.73
NC_021794	Cellulophaga phage phi18:3	123	101	15.45
NC_016656	Cyanophage P-SSP2	56	43	19.64
NC_027351	Salmonella phage SSE121	242	114	10.33
NC_019422	Clostridium phage phiMMP04	51	14	9.80
NC_007051	Staphylococcus phage 2638A	57	35	12.28
NC_019710	Enterobacteria phage HK140	71	44	22.54
NC_011756	Pseudomonas phage SN	92	226	79.35
NC_012742	Xanthomonas phage phiL7	58	81	31.03
NC_008562	Microcystis aeruginosa phage Ma-LMM01	184	133	11.41
NC_023569	Vibrio phage SHOU24	96	30	7.29
NC_015208	Pseudomonas phage phi15	50	40	14.00
NC_006820	Synechococcus phage S-PM2	244	574	31.56
NC_008584	Thermus phage phiYS40	170	118	5.29
NC_000872	Streptococcus phage Sfi21	50	9	10.00
NC_009233	Heliothis virescens ascovirus 3e	180	15	2.78
NC_021539	Listeria phage LP-030-2	69	21	4.35
NC_011216	Burkholderia phage KS10	49	31	14.29
NC_002331	Xestia c-nigrum granulovirus	181	3	0.55
NC_020844	Salicola phage CGphi29	64	154	20.31
NC_020870	Leuconostoc phage phiLN04	39	4	5.13
NC_018280	Celeribacter phage P12053L	56	303	35.71
NC_009811	Listeria virus A511	190	50	6.32
NC_004112	Lactobacillus phage A2	61	27	11.48
NC_020204	Klebsiella phage JD001	68	68	14.71
NC_018277	Staphylococcus phage SpaA1	63	12	7.94
NC_019517	Escherichia phage FV3	218	66	10.09
NC_024136	Mycobacterium phage Seabiscuit	94	31	9.57
NC_013594	Escherichia phage D108	57	25	15.79
NC_017984	Acinetobacter bacteriophage AP22	89	127	15.73
NC_014662	Enterobacter phage CC31	279	96	9.68
NC_019455	Haemophilus phage SuMu	55	13	10.91
NC_015273	Burkholderia phage KS14	44	30	34.09
NC_019725	Escherichia phage ADB-2	78	33	7.69
NC_024207	Bacillus phage Evoli	294	72	4.42
NC_008798	Staphylococcus phage phiETA2	69	5	4.35
NC_002214	Streptococcus phage Sfi11	51	5	5.88
NC_005309	Canarypox virus	328	43	3.05
NC_008363	Lactococcus virus P008	58	16	3.45
NC_019419	Escherichia virus JL1	60	36	15.00
NC_023556	Achromobacter phage JWAlpha	91	75	36.26
NC_024368	Mycobacterium phage Pinto	87	33	10.34
NC_016655	Rhodococcus phage REQ1	85	49	14.12
NC_024361	Streptococcus phage DCC1738	56	17	12.50
NC_023585	Sulfolobus monocaudavirus SMV1	51	1	1.96
NC_005282	Salmonella phage FelixO1	131	56	13.74
NC_021249	Choristoneura rosaceana entomopoxvirus 'L'	296	43	5.74
NC_011645	Bacillus phage TP21-L	56	44	10.71
NC_021061	Mycobacterium phage Butters	66	33	10.61
NC_008152	Escherichia virus K1-5	52	25	17.31
NC_007057	Staphylococcus phage 96	74	14	2.70
NC_016158	Escherichia phage HK639	76	55	22.37
NC_022971	Pseudomonas phage phiIBB-PAA2	69	188	17.39
NC_006884	Prochlorococcus phage P-SSM4	221	686	32.13
NC_025470	Shewanella sp. phage 1/40	236	69	6.36
NC_018860	Bacillus phage BCP78	227	107	6.61
NC_008520	Anticarsia gemmatalis nucleopolyhedrovirus	158	7	0.63
NC_007821	Enterobacteria phage WA13 sensu lato	10	6	60.00
NC_009235	Burkholderia virus phi6442	71	69	21.13
NC_021533	Mycobacterium phage BTCU-1	73	53	10.96
NC_001697	Haemophilus phage HP1	42	15	9.52
NC_007045	Staphylococcus phage PT1028	22	5	4.55
NC_013055	Burkholderia phage KS9	50	161	34.00
NC_009236	Burkholderia virus phiE122	50	34	26.00
NC_024150	California sea lion adenovirus 1	30	4	3.33
NC_023591	Mycobacterium phage Adler	125	18	4.80
NC_021329	Halovirus HRTV-4	73	5	1.37
NC_020082	Edwardsiella phage MSW-3	66	24	7.58
NC_019930	Tetrasphaera phage TJE1	66	25	7.58
NC_007809	Pseudomonas phage M6	85	148	21.18
NC_018843	Salmonella phage SSU5	130	205	20.00
NC_001942	Mycoplasma phage MAV1	15	4	6.67
NC_003907	Vibrio phage VpV262	67	4	5.97
NC_006940	Salmonella phage SS3e	58	29	18.97
NC_007967	Streptomyces phage mu1/6	52	16	9.62
NC_023609	Mycobacterium phage RhynO	73	82	15.07
NC_011802	Salmonella phage SE1	67	71	13.43
NC_000899	Fowl aviadenovirus D	29	2	3.45
NC_004156	Helicoverpa zea nudivirus 2	113	112	6.19
NC_019909	Yersinia phage phiR1-RT	262	87	10.69
NC_013692	Pseudomonas phage LIT1	90	44	21.11
NC_024355	Staphylococcus phage 6ec	142	87	10.56
NC_024382	Alcelaphine gammaherpesvirus 2	70	10	4.29
NC_028854	Paenibacillus phage Sitara	74	79	16.22
NC_011167	Bacillus virus IEBH	86	24	8.14
NC_022766	Bacillus virus Glittering	78	98	6.41
NC_010583	Escherichia virus EPS7	170	71	12.94
NC_018282	Pseudomonas phage MP1412	77	156	24.68
NC_004775	Salmonella phage epsilon15	51	92	23.53
NC_004629	Pseudomonas phage phiKZ	306	64	10.46
NC_024138	Mycobacterium phage MosMoris	111	35	8.11
NC_009814	Listeria phage P35	56	11	5.36
NC_021309	Mycobacterium phage Phrux	141	131	7.80
NC_007917	Clostridium virus phiCD119	79	48	15.19
NC_019443	Synechococcus phage metaG-MbCM1	234	517	28.21
NC_017979	Goose adenovirus 4	34	3	2.94
NC_006549	Singapore grouper iridovirus	162	105	6.17
NC_023614	Croceibacter phage P2559Y	51	101	27.45
NC_008617	Staphylococcus phage phiNM3	65	29	9.23
NC_003287	Enterobacteria phage M13	10	6	10.00
NC_015049	Cricetid gammaherpesvirus 2	82	15	4.88
NC_024384	Listeria phage LP-030-3	73	8	6.85
NC_011285	Mycobacterium phage Troll4	84	38	2.38
NC_011272	Mycobacterium phage Rizal	220	104	6.82
NC_011041	Escherichia phage V5	233	65	9.44
NC_011976	Salmonella phage epsilon34	73	74	8.22
NC_018519	Blueberry virus A	10	6	10.00
NC_028788	Paenibacillus phage Diva	60	75	16.67
NC_023499	Staphylococcus phage StauST398-4	65	45	9.23
NC_017969	Escherichia virus AKFV33	160	108	16.25
NC_015293	Pseudoalteromonas phage H105/1	52	61	13.46
NC_022775	Lactobacillus phage phiJB	46	13	10.87
NC_004002	Sheeppox virus	148	37	4.73
NC_004745	Yersinia phage L-413C	40	12	22.50
NC_024148	Mycobacterium phage Phantastic	91	73	12.09
NC_005210	Beet pseudoyellows virus	8	3	12.50
NC_023593	Escherichia phage KBNP1711	126	97	11.90
NC_019768	Enterobacteria phage HK106	65	53	18.46
NC_009011	Spodoptera frugiperda multiple nucleopolyhedrovirus	143	5	2.80
NC_001266	Rabbit fibroma virus	165	31	3.64
NC_026926	Synechococcus phage ACG-2014j	230	612	35.22
NC_003094	Helicoverpa armigera nucleopolyhedrovirus	137	1	0.73
NC_010808	Staphylococcus phage phiMR25	70	24	5.71
NC_010240	Helicoverpa armigera granulovirus	179	5	1.12
NC_021788	Cellulophaga phage phi4:1	197	66	9.14
NC_020080	Klebsiella phage KP27	276	92	12.68
NC_021795	Cellulophaga phage phi17:1	65	52	18.46
NC_016924	Cotia virus SPAn232	185	30	2.70
NC_023548	Citrobacter phage CR8	57	63	17.54
NC_021247	Adoxophyes honmai entomopoxvirus 'L'	247	29	4.05
NC_021335	Halovirus HRTV-7	105	5	1.90
NC_014791	Ugandan cassava brown streak virus	2	4	50.00
NC_011357	Stx2-converting phage 1717	77	149	22.08
NC_015270	Enterococcus phage EFRM31	23	19	13.04
NC_011534	Kluyvera phage Kvp1	47	48	14.89
NC_023704	Mycobacterium phage Doom	85	50	8.24
NC_009815	Listeria phage A006	62	17	6.45
NC_018269	Marinomonas phage P12026	54	120	22.22
NC_015279	Synechococcus phage S-SM2	267	887	38.95
NC_021774	Salmonella phage FSL SP-004	40	10	17.50
NC_027383	Escherichia phage YD-2008.s	62	33	16.13
NC_015938	Salmonella phage 7-11	151	183	17.22
NC_020231	Caviid betaherpesvirus 2	110	3	1.82
NC_007019	Streptococcus phage 2972	44	14	6.82
NC_023561	Enterobacter phage PG7	294	98	9.52
NC_023498	Mycobacterium phage Validus	105	20	8.57
NC_009127	Cyprinid herpesvirus 3	163	44	2.45
NC_005137	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	149	3	0.67
NC_004686	Mycobacterium phage Che9d	111	90	6.31
NC_019509	Cronobacter virus ESP29491	45	30	20.00
NC_020871	Listeria phage vB_LmoM_AG20	178	45	6.74
NC_011039	Mycobacterium phage Predator	92	16	4.35
NC_005906	Neodiprion lecontei nucleopolyhedrovirus	89	1	1.12
NC_013598	Streptococcus phage Alq132	44	11	9.09
NC_006268	Sulfolobus virus STSV1	74	9	4.05
NC_021784	Thermus phage phi OH2	60	39	18.33
NC_010342	Halomonas phage phiHAP-1	46	27	10.87
NC_010495	Salmonella phage Vi II-E1	51	60	19.61
NC_021780	Salmonella phage FSLSP088	70	55	14.29
NC_013036	Anatid alphaherpesvirus 1	77	9	2.60
NC_023744	Mycobacterium phage DS6A	97	29	8.25
NC_016447	Aotine betaherpesvirus 1	146	4	1.37
NC_023566	Rhizobium phage vB_RglS_P106B	95	53	12.63
NC_022563	Squirrelpox virus	141	13	2.13
NC_010276	Orgyia leucostigma nucleopolyhedrovirus	135	47	3.70
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	158	77	11.39
NC_003345	Halorubrum phage HF2	114	16	6.14
NC_023718	Pseudomonas phage phiPto-bp6g	68	7	4.41
NC_005069	Yersinia phage PY54	67	50	14.93
NC_015251	Aeromonas virus 65	437	121	6.86
NC_023612	Geobacillus phage GBK2	62	168	14.52
NC_012783	Cercopithecine betaherpesvirus 5	177	3	1.13
NC_023501	Bacillus phage BPS10C	271	29	3.69
NC_007709	Xanthomonas phage OP1	59	70	30.51
NC_019538	Aeromonas phage CC2	427	99	6.56
NC_021334	Mycobacterium phage WIVsmall	83	27	8.43
NC_016567	Vibrio phage SIO-2	115	14	4.35
NC_021853	Lactococcus phage 340	58	17	3.45
NC_013600	Sodalis phage SO1	59	39	20.34
NC_006623	Gallid alphaherpesvirus 1	79	4	1.27
NC_023681	Mamestra brassicae multiple nucleopolyhedrovirus	159	28	3.14
NC_007605	Human gammaherpesvirus 4	95	18	3.16
NC_011703	Pseudomonas phage 14-1	90	223	81.11
NC_022965	Mycobacterium phage CloudWang3	103	100	12.62
NC_021070	Vibrio phage martha 12B12	51	11	15.69
NC_014765	Bathycoccus sp. RCC1105 virus BpV1	203	900	40.39
NC_005263	Burkholderia virus Bcep1	71	58	14.08
NC_019514	Erwinia phage vB_EamP-S6	115	62	18.26
NC_005833	Escherichia virus T1	78	48	11.54
NC_024450	Falconid herpesvirus 1	130	6	1.54
NC_015721	Bdellovibrio phage phi1402	42	3	7.14
NC_011551	Bacteriophage APSE-2	41	80	21.95
NC_023567	Klebsiella phage F19	51	20	15.69
NC_002577	Gallid alphaherpesvirus 3	76	12	3.95
NC_008717	Pseudomonas phage DMS3	52	7	9.62
NC_002656	Mycobacterium phage Bxb1	86	22	4.65
NC_018085	Bacillus phage BtCS33	57	38	10.53
NC_003050	Streptococcus phage MM1	53	41	18.87
NC_015960	Yokapox virus	186	94	2.69
NC_021789	Cellulophaga phage phi19:3	129	92	17.83
NC_019502	Bacillus phage phIS3501	51	29	11.76
NC_016164	Synechococcus phage S-CBS1	43	125	41.86
NC_019709	Enterobacteria phage mEpX1	66	48	19.70
NC_021535	Mycobacterium phage Jobu08	85	82	9.41
NC_011399	Ralstonia phage RSM3	14	17	7.14
NC_016761	Salmonella phage SPN1S	52	94	28.85
NC_024375	Listeria phage LP-026	114	30	3.51
NC_025429	Rhizobium phage vB_RleM_P10VF	257	171	12.84
NC_023712	Mycobacterium phage Firecracker	128	35	3.91
NC_021863	Staphylococcus phage SA13	62	17	6.45
NC_021302	Mycobacterium phage Fishburne	77	51	9.09
NC_001962	Bombyx mori nucleopolyhedrovirus	143	7	0.70
NC_017976	Bacillus phage PBC1	50	38	16.00
NC_015456	Shigella virus Shfl1	80	43	8.75
NC_018836	Streptomyces phage phiHau3	72	40	8.33
NC_003084	Culex nigripalpus nucleopolyhedrovirus	109	1	0.92
NC_020477	Bacillus virus Eoghan	75	99	8.00
NC_025459	Aeromonas phage pAh6-C	86	21	6.98
NC_011421	Bacillus virus SPO1	204	196	7.84
NC_022069	Mycobacterium phage Jabbawokkie	106	32	4.72
NC_020158	Halovirus HVTV-1	173	52	9.25
NC_015265	Burkholderia phage KS5	46	49	30.43
NC_008208	Aeromonas virus 25	242	117	13.22
NC_008207	Mycobacterium phage Catera	218	101	6.42
NC_025425	Enterobacteria phage GEC-3S	277	80	10.47
NC_011616	Spodoptera litura nucleopolyhedrovirus II	147	13	2.72
NC_023715	Yersinia phage Yep-phi	45	45	8.89
NC_019508	Clostridium phage phiCP34O	52	31	13.46
NC_012756	Streptococcus phage PH10	54	8	7.41
NC_020481	Pelagibacter phage HTVC010P	64	219	40.62
NC_019919	Yersinia phage phiR201	166	111	16.27
NC_023747	Mycobacterium phage BarrelRoll	95	21	7.37
NC_011308	Listeria phage P40	62	5	4.84
NC_008586	Ectropis obliqua nucleopolyhedrovirus	126	28	2.38
NC_008195	Mycobacterium phage Cooper	99	22	5.05
NC_018279	Salmonella phage vB_SosS_Oslo	79	108	18.99
NC_007646	Ovine gammaherpesvirus 2	73	12	2.74
NC_020857	Cyanophage MED4-117	63	78	33.33
NC_019496	Clostridium phage phiCP26F	49	40	16.33
NC_022915	Ralstonia phage RSK1	54	91	25.93
NC_004165	Bacillus virus B103	17	36	5.88
NC_011022	Mycobacterium phage DD5	87	34	8.05
NC_022988	Mycobacterium phage Bruin	141	133	9.22
NC_002642	Yaba-like disease virus	152	32	3.95
NC_023588	Stenotrophomonas phage Smp131	46	19	21.74
NC_020081	Bacillus phage phiAGATE	210	137	9.05
NC_001895	Escherichia virus P2	43	20	23.26
NC_019511	Staphylococcus virus SA11	186	68	6.99
NC_022060	Mycobacterium phage Velveteen	100	43	4.00
